gage_id,seg_id,RefNonRef,Area,NSE,Pbias,RSR,AbsPbias,NSEeval,AbsPbiaseval,RSReval,SumScore,DI
01652500,4105,NonRef,-12.1522694,0.349180915,-39.4,0.806702145,39.4,0,0,0,0,23
01654000,4106,NonRef,-0.640226158,0.275019067,-38,0.851438366,38,0,0,0,0,22
01653000,4107,NonRef,-0.24130422,0.387373441,-32.6,0.78268236,32.6,0,0,0,0,30
01343060,4136,Ref   ,1.195639233,0.635712628,-24.4,0.603465812,24.4,1,1,1,3,4
01348000,4139,NonRef,-1.244524026,0.259213309,-53.8,0.860663031,53.8,0,0,0,0,13
01346000,4137,NonRef,0.837491379,0.196461091,3.5,0.89638252,3.5,0,1,0,1,11
01347000,4138,NonRef,2.170786616,0.600203814,-18.8,0.632279712,18.8,1,1,1,3,18
01336000,4148,NonRef,-0.223839938,-0.483408084,-39.5,1.217924155,39.5,0,0,0,0,10
01356190,4161,NonRef,-16.69336751,0.125645431,38.8,0.934973376,38.8,0,0,0,0,14
01357500,4177,NonRef,-0.521268553,0.578052055,-7.2,0.649560132,7.2,1,1,1,3,23
01349000,4165,NonRef,0.535640709,0.331707605,-21.4,0.817462645,21.4,0,1,0,1,9
01349150,4166,NonRef,1.858013001,0.558656916,-23,0.664282332,23,1,1,1,3,11
02277000,4256,NonRef,NA,-3.449599234,371.5,2.109350343,371.5,0,0,0,0,32
02277600,4260,NonRef,NA,-1.069978048,-100,1.438689661,100,0,0,0,0,24
02374950,4273,Ref   ,-0.660888184,0.725212644,-4.7,0.524126937,4.7,1,1,1,3,10
02376000,4277,NonRef,-0.506058164,0.406641249,-55.1,0.770272723,55.1,0,0,0,0,13
02375500,4278,NonRef,-0.468582544,0.783527465,-16.8,0.465255296,16.8,1,1,1,3,14
02376033,4281,NonRef,-0.192394983,0.764080934,-17.1,0.485658575,17.1,1,1,1,3,12
02366996,4285,Ref   ,-0.77401345,0.475943714,-2.6,0.723829247,2.6,0,1,0,1,9
02367000,4286,Ref   ,-1.33854715,0.513232773,-20.1,0.6976519,20.1,1,1,1,3,9
02367310,4287,Ref   ,-3.742196491,0.403110139,-3,0.772546339,3,0,1,0,1,9
02369800,4290,Ref   ,-1.730088297,0.391031538,-32.5,0.780339031,32.5,0,0,0,0,6
02370000,4295,Ref   ,-0.694653013,0.437685561,-43.4,0.749857724,43.4,0,0,0,0,9
02370500,4301,NonRef,-1.486842051,0.422481047,-51.6,0.759926617,51.6,0,0,0,0,10
02370700,4303,Ref   ,-10.03969288,-0.715269332,-50.2,1.309618553,50.2,0,0,0,0,8
02367900,4316,NonRef,-2.762127565,0.220658129,-50.7,0.882696012,50.7,0,0,0,0,11
02368000,4322,NonRef,NA,0.470594976,-43.2,0.727584511,43.2,0,0,0,0,12
02368500,4318,NonRef,-0.9127307,0.081555238,-40.4,0.958320032,40.4,0,0,0,0,10
02369000,9833,NonRef,1.570920717,0.298914925,-46.2,0.837288804,46.2,0,0,0,0,10
02369600,4334,NonRef,-0.424681303,-0.654106835,-36,1.28589847,36,0,0,0,0,13
02217000,4338,NonRef,-5.702964338,0.382872548,-20.3,0.785521447,20.3,0,1,0,1,15
02217274,4343,NonRef,-72.77639235,-2.119686916,131.9,1.765979376,131.9,0,0,0,0,14
02217770,4350,NonRef,-0.52630627,0.626479213,-3.7,0.611050323,3.7,1,1,1,3,18
02217475,4349,NonRef,-0.231990672,0.688983075,-9.1,0.557655487,9.1,1,1,1,3,18
02218565,4348,NonRef,-3.846153846,0.229622417,-44.8,0.877569708,44.8,0,0,0,0,17
02217500,4351,NonRef,1.395848885,0.763142284,-11.6,0.486669009,11.6,1,1,1,3,18
02219000,4358,NonRef,-1.491067031,0.235886348,-54.2,0.874099327,54.2,0,0,0,0,19
02218300,4359,NonRef,-0.224283074,0.70124224,-21.3,0.546564296,21.3,1,1,1,3,21
02218500,4365,NonRef,1.249267336,0.662372976,-8.8,0.581028147,8.8,1,1,1,3,18
02219500,4364,NonRef,-2.068686687,0.330350318,-38.1,0.818280882,38.1,0,0,0,0,18
02220550,4380,Ref   ,-4.592217944,0.520231705,-9.7,0.692616357,9.7,1,1,1,3,5
02220900,4384,NonRef,-1.684497296,0.620352913,38.6,0.616129065,38.6,1,0,1,2,16
02221525,4387,Ref   ,-0.241520529,0.717149043,-2.8,0.531815064,2.8,1,1,1,3,14
02221000,4392,Ref   ,-4.245263634,0.159221563,-48.6,0.916876941,48.6,0,0,0,0,11
02223000,4418,NonRef,0.299231708,0.532713225,-6.4,0.683567912,6.4,1,1,1,3,23
02223248,4429,NonRef,-1.730405056,0.631323257,-1.6,0.607139146,1.6,1,1,1,3,22
02223500,4432,NonRef,-0.125728089,0.717347394,-11.3,0.531638496,11.3,1,1,1,3,21
02224000,4450,NonRef,0.326264274,0.205207889,-71,0.891461991,71,0,0,0,0,13
02223056,4440,NonRef,-0.070256696,0.492691773,11.5,0.712195552,11.5,0,1,0,1,23
02224500,4453,NonRef,0.148772864,0.745455195,-19.5,0.50442334,19.5,1,1,1,3,21
02084557,4456,Ref   ,NA,-0.409019303,-100,1.186971497,100,0,0,0,0,14
02326000,4464,Ref   ,6.785748956,0.586632275,-15.6,0.64292188,15.6,1,1,1,3,12
02325000,4462,NonRef,14.22696899,-0.146483748,-56.5,1.070692338,56.5,0,0,0,0,21
02324500,4463,NonRef,-9.690917164,0.356870113,-43.6,0.80193244,43.6,0,0,0,0,22
02324400,4465,Ref   ,-26.08743856,0.485505592,2.8,0.717264557,2.8,0,1,0,1,16
02314500,4470,Ref   ,4.208165494,0.633067498,-24.2,0.605735482,24.2,1,1,1,3,14
02315000,4471,Ref   ,4086.614851,-0.357902741,-98.6,1.165232404,98.6,0,0,0,0,13
02315500,9867,Ref   ,6.388521248,0.319438134,26.3,0.824942595,26.3,0,0,0,0,16
02319500,4724,NonRef,1.070301137,0.66657726,-17.1,0.577414294,17.1,1,1,1,3,23
02316000,4499,NonRef,1.004407327,0.799780502,-20.5,0.447440413,20.5,1,1,1,3,14
02317500,4505,NonRef,2.487222761,0.759859075,-28.4,0.490030388,28.4,1,0,1,2,15
02317620,4508,NonRef,415.0751458,-0.162321817,-90.9,1.078014718,90.9,0,0,0,0,16
02330450,4513,NonRef,-3.091531891,0.454667697,-15.3,0.73843091,15.3,0,1,0,1,15
02331000,4517,Ref   ,-1.055408971,0.747477653,-6.5,0.502484742,6.5,1,1,1,3,19
02333500,4520,NonRef,1.266157909,0.520019739,3.6,0.692790003,3.6,1,1,1,3,16
02331600,4521,NonRef,-0.934050382,0.615431709,0.7,0.620119493,0.7,1,1,1,3,22
02334480,4531,NonRef,-0.477960701,-0.013775214,-38.5,1.006724778,38.5,0,0,0,0,15
02334578,4532,NonRef,-15.32797858,-0.212016767,53.6,1.100742011,53.6,0,0,0,0,16
02335700,4535,NonRef,-2.559175001,0.763362072,7.3,0.486441039,7.3,1,1,1,3,25
02334620,4534,NonRef,-0.56204064,-0.298300706,-0.8,1.139172056,0.8,0,1,0,1,14
02334885,4536,NonRef,0.02336002,0.358970535,-29.8,0.800599751,29.8,0,0,0,0,21
02335000,4561,NonRef,-0.127785218,-0.556465386,11.2,1.247551747,11.2,0,1,0,1,27
02335815,4565,NonRef,0.614334972,-0.41750699,30.2,1.190413999,30.2,0,0,0,0,31
02334430,4546,NonRef,0.481344286,-0.565617392,14.1,1.251217304,14.1,0,1,0,1,25
02334500,4550,NonRef,1.571288671,-0.354906813,16.2,1.163927831,16.2,0,1,0,1,26
02335870,4551,NonRef,-7.841018252,0.286407906,-34.1,0.844698007,34.1,0,0,0,0,24
02336030,4552,NonRef,-45.95549276,0.201169633,-4.2,0.893628519,4.2,0,1,0,1,20
02336120,4555,NonRef,-1.927629354,0.25613185,-47.8,0.862300284,47.8,0,0,0,0,21
02336360,4553,NonRef,-5.368387349,0.25256071,-32.8,0.864366625,32.8,0,0,0,0,28
02336300,4557,NonRef,-1.179470832,0.192172009,-28.6,0.898768643,28.6,0,0,0,0,20
02336240,4559,NonRef,-7.787912198,0.151918013,-47.6,0.920724706,47.6,0,0,0,0,19
02335350,4560,NonRef,-3.962754439,0.178199206,-52,0.906391645,52,0,0,0,0,25
02335450,4562,NonRef,0.186001059,-0.444936634,17,1.20200603,17,0,1,0,1,30
02336000,4566,NonRef,-0.141729876,-0.115502065,14.3,1.056148807,14.3,0,1,0,1,30
023177483,4583,NA,NA,0.331418128,-54.7,0.817616635,54.7,0,0,0,0,NA
02318700,4587,NonRef,-1.670504807,0.348420321,-50.2,0.80716806,50.2,0,0,0,0,12
02318500,4588,NonRef,-0.976253704,0.744603581,-10.4,0.505333335,10.4,1,1,1,3,18
02319000,4595,NonRef,-6.021453706,0.731997281,-12.2,0.517677778,12.2,1,1,1,3,18
02319394,9871,NonRef,-2.199750085,0.753288623,-22.3,0.496626306,22.3,1,1,1,3,16
02330400,4599,Ref   ,6.82306834,0.547480963,-19.7,0.67262017,19.7,1,1,1,3,3
02358789,4605,NonRef,-10.97142835,-0.10932293,-63.4,1.053103374,63.4,0,0,0,0,19
02359000,4604,NonRef,-7.814193073,-0.339507049,-64.5,1.157343895,64.5,0,0,0,0,21
02359051,4614,NonRef,-3.755299045,-3.528338528,-81.1,2.127819505,81.1,0,0,0,0,19
02359170,4784,NonRef,0.031364001,0.563131763,-14.9,0.660932087,14.9,1,1,1,3,20
02318000,4624,NonRef,0.036581835,0.787511821,-6.8,0.460942026,6.8,1,1,1,3,15
02321000,4636,Ref   ,5.952182837,0.509266755,-32.6,0.700499082,32.6,1,0,0,1,15
02320700,4640,NonRef,1.941069683,0.316335836,-0.2,0.826812479,0.2,0,1,0,1,13
02321500,4641,NonRef,-4.067856559,0.372588131,46.1,0.792074968,46.1,0,0,0,0,16
02322000,4639,NonRef,-26.21237405,-0.859958403,43.9,1.36371292,43.9,0,0,0,0,13
02322800,4642,Ref   ,-10.44099013,-11.81558974,31.8,3.579203845,31.8,0,0,0,0,13
02376300,4646,NonRef,-6.302585284,-0.017124156,-73,1.008484836,73,0,0,0,0,17
02376500,4657,NonRef,0.669168917,0.200664416,-56.6,0.89403495,56.6,0,0,0,0,13
02377570,4649,NonRef,-0.391688932,0.263959902,-42.1,0.857875015,42.1,0,0,0,0,12
02376293,4651,NonRef,-5.562880867,0.032358356,-69.5,0.983565329,69.5,0,0,0,0,17
02359500,4661,NonRef,-8.947069887,-8.772589427,-89.2,3.126036403,89.2,0,0,0,0,12
02361000,4675,Ref   ,-0.146141798,0.764814018,-12.9,0.484948522,12.9,1,1,1,3,8
02362240,4677,Ref   ,-0.71448455,0.607634675,0.5,0.626355573,0.5,1,1,1,3,9
02361500,4685,NonRef,-0.023900536,0.662122894,-23.4,0.581184213,23.4,1,1,1,3,16
02363000,4697,Ref   ,-0.21859741,0.741301594,-20.8,0.508607453,20.8,1,1,1,3,8
02364500,4717,Ref   ,-0.24954492,0.611794765,-34.1,0.623029588,34.1,1,0,1,2,10
02364570,4714,Ref   ,-3.378079363,0.615491895,17.2,0.620046746,17.2,1,1,1,3,8
02319800,4725,NonRef,2.281212449,0.59676621,3.8,0.634941318,3.8,1,1,1,3,20
02320000,4726,NonRef,1.716081634,0.592362529,-0.2,0.638399027,0.2,1,1,1,3,19
02320500,4727,NonRef,2.75406987,0.474165318,-17.2,0.725127769,17.2,0,1,0,1,18
02323000,4730,NonRef,0.267722293,-0.516712784,-3.1,1.231439539,3.1,0,1,0,1,18
02323592,4733,NonRef,0.600516388,-0.536747538,5.1,1.239478042,5.1,0,1,0,1,18
02365200,4745,NonRef,0.802810039,0.780005443,-21.7,0.468996861,21.7,1,1,1,3,14
02365470,4739,Ref   ,-0.868074161,0.61792434,-8.1,0.618047488,8.1,1,1,1,3,11
02366000,4743,NonRef,-3.791751514,-0.078433298,-54,1.038433747,54,0,0,0,0,15
02365769,4744,Ref   ,-0.078821318,0.590664956,-8.8,0.639713329,8.8,1,1,1,3,10
02365500,4750,NonRef,-0.151043306,0.746785866,-27.3,0.503191844,27.3,1,0,1,2,12
02366500,4758,NonRef,-0.197760505,0.715839958,-29.3,0.533054021,29.3,1,0,1,2,11
02326500,4769,NonRef,-0.560429174,0.676158915,34.8,0.569046333,34.8,1,0,1,2,12
02326512,4770,Ref   ,-2.530572709,0.793862829,6.5,0.453993867,6.5,1,1,1,3,11
02326550,4771,NonRef,-5.982803247,-0.064646975,-47,1.031652424,47,0,0,0,0,11
02358000,4773,NonRef,0.22999871,0.494515873,-19,0.710957573,19,0,1,0,1,23
02358700,4777,NonRef,0.365947932,0.494869573,-16.6,0.710706656,16.6,0,1,0,1,22
02358754,4781,NonRef,0.326817426,0.340567617,-15.4,0.812019445,15.4,0,1,0,1,21
02343300,4802,Ref   ,-0.165479137,0.774750786,-10.2,0.474583868,10.2,1,1,1,3,8
02343940,4801,Ref   ,-1.265705981,0.67487415,-6.5,0.570099897,6.5,1,1,1,3,13
02343801,4807,NonRef,0.174017276,0.345436831,-6.7,0.809025613,6.7,0,1,0,1,23
02372250,4814,Ref   ,-0.070086591,0.685858166,-1.8,0.560461806,1.8,1,1,1,3,9
02371200,4818,Ref   ,-8.216059603,0.293912395,-19.8,0.840245941,19.8,0,1,0,1,6
02371500,4822,Ref   ,2.98597537,0.731892175,-23,0.517779281,23,1,1,1,3,8
02372422,4828,NonRef,1.127897795,0.7186507,-10.1,0.530354826,10.1,1,1,1,3,10
02373500,4841,Ref   ,-0.232357864,0.597763946,-3.3,0.634176853,3.3,1,1,1,3,9
02373000,4836,Ref   ,0.350157998,0.817451935,-4.3,0.427245191,4.3,1,1,1,3,10
02374500,4847,Ref   ,-0.523944904,0.621450549,-9.3,0.615249449,9.3,1,1,1,3,7
02374250,4859,NonRef,0.519103163,0.679033605,2.5,0.566466565,2.5,1,1,1,3,11
02374745,4855,Ref   ,-0.128406335,0.575334596,-23.6,0.651581073,23.6,1,1,1,3,8
02374700,4856,NonRef,-0.062489662,0.490839252,-5.4,0.713464311,5.4,0,1,0,1,18
02327500,4875,NonRef,-1.651714747,0.68661591,-31.6,0.559781404,31.6,1,0,1,2,17
02328000,4876,NonRef,-5.018359853,0.582210925,-32.8,0.64632288,32.8,1,0,1,2,12
02328522,7160,NonRef,1.911398108,0.616396483,-13.7,0.619281989,13.7,1,1,1,3,15
02336968,4881,NonRef,-7.705071036,0.464798238,-31.5,0.731487524,31.5,0,0,0,0,21
02337000,4889,NonRef,-1.872665353,0.743648271,7.8,0.506300141,7.8,1,1,1,3,19
02336635,4883,NonRef,0.095328885,0.12111347,-61.3,0.937399439,61.3,0,0,0,0,23
02336728,4886,NonRef,-2.845843006,0.321784041,-14.5,0.823420416,14.5,0,1,0,1,25
02337040,4887,NonRef,-0.739152343,0.331196954,23.3,0.817674711,23.3,0,1,0,1,22
02337500,4890,NonRef,-19.26129773,0.446415819,-12.8,0.744013959,12.8,0,1,0,1,12
02337170,4899,NonRef,0.243699246,0.343629373,7.6,0.810142093,7.6,0,1,0,1,32
02338660,4903,NonRef,0.937045485,0.635090903,-4.9,0.604050602,4.9,1,1,1,3,23
02338000,4910,NonRef,0.657754934,0.494372575,7,0.711054765,7,0,1,0,1,30
02338500,4915,NonRef,0.340934534,0.492964541,12.4,0.711938805,12.4,0,1,0,1,28
02338523,4911,Ref   ,-2.348291095,0.205361751,-22.6,0.891273278,22.6,0,1,0,1,10
02340500,4953,NonRef,-0.464606053,0.699380856,-32,0.548251283,32,1,0,1,2,14
02339500,4966,NonRef,0.235001667,0.114552452,6.3,0.940960392,6.3,0,1,0,1,27
02313700,4987,Ref   ,40.93811936,0.306064346,-34.6,0.832996487,34.6,0,0,0,0,9
02083800,4992,NonRef,7.24486433,0.299949865,-50.1,0.836664855,50.1,0,0,0,0,17
02084160,4995,Ref   ,6.192184255,0.585318202,-9.1,0.643927729,9.1,1,1,1,3,11
02083500,4997,NonRef,-1.864440762,0.680538019,-15.7,0.565196562,15.7,1,1,1,3,19
02084000,5002,NonRef,-1.38798268,0.671621942,-17.8,0.572980999,17.8,1,1,1,3,20
02352500,5016,NonRef,-0.300955928,0.825138507,-17.4,0.418154731,17.4,1,1,1,3,16
02353000,5021,NonRef,-1.840725804,0.793117474,-16.8,0.454831715,16.8,1,1,1,3,18
02355662,5022,NonRef,-0.504069642,0.840954891,-10.8,0.398733251,10.8,1,1,1,3,17
02356000,5028,NonRef,0.440545234,0.72958063,-23.4,0.519994259,23.4,1,1,1,3,17
02341800,5039,NonRef,0.242986655,0.666033614,-41.4,0.577879301,41.4,1,0,1,2,12
02342850,5044,Ref   ,0.195422477,0.613574286,-16.7,0.621346015,16.7,1,1,1,3,7
