gage_id,seg_id,RefNonRef,Area,NSE,Pbias,RSR,AbsPbias,NSEeval,AbsPbiaseval,RSReval,SumScore,DI
01208950,1238,Ref   ,-9.580985053,0.68438336,11.9,0.56178069,11.9,1,1,1,3,14
01064300,1258,Ref   ,-36.4505597,0.025107952,52.9,0.987333097,52.9,0,0,0,0,5
01064400,1254,Ref   ,-15.17128874,0.443417647,15.8,0.746007985,15.8,0,1,0,1,2
01065500,1260,NonRef,-0.156612747,0.542320354,-6,0.676500004,6,1,1,1,3,12
01066500,1268,NonRef,2.631771864,0.280893138,-17.3,0.847965182,17.3,0,1,0,1,15
01066000,1265,NonRef,-0.373157616,0.599174319,9.2,0.633093264,9.2,1,1,1,3,10
01064801,1271,Ref   ,1.224880956,0.520081745,-14.1,0.692704716,14.1,1,1,1,3,4
01065000,1273,NonRef,-0.148868959,0.45721885,-23.5,0.736711452,23.5,0,1,0,1,12
01064500,1278,NonRef,-0.460467293,0.576083964,8,0.65107324,8,1,1,1,3,7
01141800,1295,Ref   ,-24.10493318,0.378484287,7.5,0.788332838,7.5,0,1,0,1,6
01145000,1298,Ref   ,-1.385503056,0.361850757,20.2,0.798803029,20.2,0,1,0,1,5
01150500,1297,NonRef,-1.424512438,0.186594233,11.2,0.901867138,11.2,0,1,0,1,14
01152500,1312,NonRef,-0.5387178,0.672504915,-4.4,0.572258585,4.4,1,1,1,3,20
01155000,1318,Ref   ,-1.383257811,0.509338584,-10.3,0.700437723,10.3,1,1,0,2,8
01154500,1330,NonRef,-1.232055044,0.636821086,-9.4,0.60262929,9.4,1,1,1,3,21
01156500,1334,NonRef,-1.021237784,0.65235491,-7.5,0.589578875,7.5,1,1,1,3,22
01162000,1347,NonRef,-3.893601523,0.620692304,-6.2,0.615865322,6.2,1,1,1,3,24
01162500,1337,Ref   ,-35.52461032,0.09967021,43.2,0.948835081,43.2,0,0,0,0,8
01165000,1338,NonRef,26.87485868,NA,NA,NA,NA,0,0,0,0,15
01164000,1349,NonRef,-5.928963925,NA,NA,NA,NA,0,0,0,0,23
01165500,1342,Ref   ,-3.029331624,0.449718821,-13.7,0.741777409,13.7,0,1,0,1,7
01166500,1344,NonRef,-0.377334237,0.648074643,-6.9,0.593219206,6.9,1,1,1,3,22
01163200,1345,NonRef,0.367917586,0.152461241,6.3,0.920590729,6.3,0,1,0,1,28
01161500,1346,NonRef,-8.624229979,0.359847338,5.6,0.800061894,5.6,0,1,0,1,8
01153500,1352,Ref   ,1.337058864,0.579465929,-22.4,0.648459679,22.4,1,1,1,3,14
01153550,1353,NonRef,0.086682216,0.484874644,-19.3,0.717680084,19.3,0,1,0,1,13
01155500,1359,NonRef,0.801910168,0.46468303,-20.1,0.731634689,20.1,0,1,0,1,18
01154000,1357,Ref   ,-1.882177074,0.482677944,-17.5,0.719226626,17.5,0,1,0,1,12
01155910,1356,NonRef,0.959834455,NA,NA,NA,NA,0,0,0,0,19
01156000,1360,NonRef,0.791276973,0.469534406,-23.1,0.728304959,23.1,0,1,0,1,19
01170100,1365,Ref   ,-1.863177357,0.530540487,-10.4,0.685148958,10.4,1,1,1,3,11
01168151,1366,NonRef,-0.429251847,-0.138353762,-36.1,1.06687409,36.1,0,0,0,0,22
01168500,1368,NonRef,-0.426703296,0.34768343,-17.9,0.807642433,17.9,0,1,0,1,20
01169000,1367,Ref   ,-1.444011339,0.616073996,-8.3,0.619603251,8.3,1,1,1,3,19
01169900,1375,NonRef,-8.3475946,0.417111975,-22,0.763447037,22,0,1,0,1,9
01052500,1392,Ref   ,-0.613970276,0.692162706,-2.7,0.554817996,2.7,1,1,1,3,4
01053500,1398,NonRef,0.229877127,-3.862761496,16.9,2.205115835,16.9,0,1,0,1,10
01054000,1400,NonRef,-0.114783599,-0.917907386,7.1,1.384853201,7.1,0,1,0,1,17
01105870,1425,NonRef,-12.01955121,0.238151603,-1.6,0.872811754,1.6,0,1,0,1,16
01114000,1429,NonRef,46.49923896,0.5709511,-4.2,0.654998996,4.2,1,1,1,3,17
01117350,1430,NonRef,-12.49201569,-0.277585647,-1.6,1.130263382,1.6,0,1,0,1,10
01413088,1435,NonRef,-45.22437718,-1.173274599,100.7,1.473992122,100.7,0,0,0,0,10
01413500,1437,Ref   ,-2.727218476,0.585850837,-15.9,0.643529288,15.9,1,1,1,3,11
01413398,1436,NonRef,-0.967003139,0.522715532,-4.1,0.690780582,4.1,1,1,1,3,10
01413408,1442,Ref   ,-0.242718447,0.502852883,-15.7,0.705012767,15.7,1,1,0,2,11
01415000,1440,Ref   ,-0.803728824,0.341597991,-46.9,0.811400922,46.9,0,0,0,0,15
01414500,1441,Ref   ,-2.698945905,0.368127743,7.6,0.794885486,7.6,0,1,0,1,9
01414000,1443,Ref   ,-1.222687649,0.338595192,42.5,0.813223121,42.5,0,0,0,0,11
01417000,1444,NonRef,-0.243491692,-0.636357408,157.7,1.279172184,157.7,0,0,0,0,22
01417500,1450,NonRef,0.101850354,-0.275976066,102,1.129559329,102,0,0,0,0,22
01418500,1452,Ref   ,-0.429163678,0.501775285,-5.3,0.705801411,5.3,1,1,0,2,16
01420500,1457,NonRef,-1.012465858,0.472768005,-21.9,0.726090579,21.9,0,1,0,1,19
01419500,1455,Ref   ,-1.439052807,0.314369081,-30.7,0.827970932,30.7,0,0,0,0,16
01420000,1458,NonRef,-1.058331282,0.451432498,-22.7,0.740620452,22.7,0,1,0,1,12
01420980,1461,NonRef,0.060088304,0.429827463,19,0.755078468,19,0,1,0,1,23
01421000,1462,NonRef,-0.004464086,0.456720336,22,0.737057972,22,0,1,0,1,23
01443280,1465,NonRef,12.56385834,0.337208743,-7.6,0.814055771,7.6,0,1,0,1,12
01443500,1469,NonRef,0.367216562,0.656391604,-1.9,0.586167404,1.9,1,1,1,3,21
01445500,1472,NonRef,-3.4590794,0.436186135,3.5,0.750857977,3.5,0,1,0,1,28
01445000,1468,NonRef,-10.78366478,0.021233257,30.8,0.989255129,30.8,0,0,0,0,15
01455500,1470,NonRef,-1.22589209,-0.85926722,-21.5,1.36349206,21.5,0,1,0,1,24
01456000,1471,NonRef,-4.04567927,0.198538742,-23.7,0.895189839,23.7,0,1,0,1,27
01443900,1474,NonRef,-31.43297381,0.16631992,-17,0.913031932,17,0,1,0,1,31
01446500,1485,NonRef,-0.074321789,0.723646879,-2.3,0.525680794,2.3,1,1,1,3,27
01457000,1480,NonRef,-7.005579665,0.411589453,-22.6,0.767061433,22.6,0,1,0,1,25
01446000,1479,NonRef,-0.633562571,0.154372337,-20.5,0.91950747,20.5,0,1,0,1,15
01457500,1490,NonRef,0.026049768,NA,NA,NA,NA,0,0,0,0,28
01463620,1492,NonRef,-5.944938028,0.492588205,10.8,0.712289028,10.8,0,1,0,1,30
01464000,1493,NonRef,-0.86442718,0.744297945,-3.7,0.505658175,3.7,1,1,1,3,39
01463500,1498,NonRef,0.002448438,0.757713873,-0.6,0.492214266,0.6,1,1,1,3,27
01459500,1501,NonRef,-0.847983875,0.551611531,-7.3,0.669602615,7.3,1,1,1,3,26
01534300,1506,NonRef,-1.978121921,-0.038189144,-15.2,1.018888456,15.2,0,1,0,1,18
01534500,1507,NonRef,-0.688741965,0.60041129,-9.1,0.632115629,9.1,1,1,1,3,26
01536000,1508,NonRef,-0.196900693,0.300164238,56.7,0.83654246,56.7,0,0,0,0,26
01537000,1509,NonRef,-10.00749938,0.398137672,4.1,0.775773022,4.1,0,1,0,1,21
01537500,1510,NonRef,-19.98776883,-0.219320769,29.5,1.104190555,29.5,0,0,0,0,12
01536500,1516,NonRef,0.037001638,0.676192708,-13,0.569027474,13,1,1,1,3,22
